Treatment,Rep,Station,Date,Card,Syrphidae,Ichneumonoidae,Chalcidoidae,Lepidoptera,Orthoptera
T7,5,2,6/9/2021,New,0,1,48,0,0
T7,5,4,6/9/2021,New,0,0,66,0,0
T7,4,2,6/9/2021,New,0,3,69,0,0
T7,4,4,6/9/2021,New,0,1,89,0,0
T3,1,2,6/9/2021,New,0,2,22,0,0
T3,1,4,6/9/2021,New,0,1,11,0,0
T3,2,2,6/9/2021,New,0,1,27,0,0
T3,2,4,6/9/2021,New,0,0,16,0,0
T4,3,2,6/23/2021,New,0,0,15,0,0
T4,3,4,6/23/2021,New,0,0,4,0,0
T4,4,2,6/23/2021,New,0,0,11,0,0
T4,4,4,6/23/2021,New,0,0,3,0,0
CF,3,2,6/9/2021,New,0,5,24,0,0
CF,3,4,6/9/2021,New,0,1,11,0,0
SF,2,2,6/9/2021,New,0,4,6,9,0
SF,2,4,6/9/2021,New,0,7,1,2,0
SF,1,2,6/9/2021,New,0,4,96,0,0
SF,1,4,6/9/2021,New,0,0,23,2,0
T2,4,2,6/9/2021,New,0,2,24,0,0
T2,4,4,6/9/2021,New,0,0,18,2,0
T3,4,2,6/9/2021,New,0,0,22,0,0
T3,4,4,6/9/2021,New,0,1,31,0,0
T2,2,2,6/9/2021,New,0,1,17,0,0
T2,2,4,6/9/2021,New,0,0,24,0,0
T2,3,2,6/9/2021,New,0,2,16,0,0
T2,3,4,6/9/2021,New,0,0,16,0,0
T7,3,2,6/9/2021,New,0,1,180,0,0
T7,3,4,6/9/2021,New,0,0,122,0,0
T2,2,2,6/23/2021,New,0,1,4,0,0
T2,2,4,6/23/2021,New,0,0,8,0,0
T3,3,2,6/9/2021,New,0,0,24,0,0
T3,3,4,6/9/2021,New,0,0,29,0,0
T3,6,2,6/23/2021,New,0,0,5,0,0
T3,6,4,6/23/2021,New,0,0,4,0,0
T4,6,2,8/4/2021,New,0,0,16,0,0
T4,6,4,8/4/2021,New,0,0,9,0,0
T1,5,2,6/23/2021,New,0,1,5,0,0
T1,5,4,6/23/2021,New,0,2,5,0,0
T5,2,2,8/4/2021,New,0,1,9,0,0
T5,2,4,8/4/2021,New,0,0,2,0,0
T3,5,2,6/23/2021,New,0,0,4,0,0
T3,5,4,6/23/2021,New,0,0,3,0,0
CF,1,2,6/23/2021,New,0,0,28,0,0
CF,1,4,6/23/2021,New,0,3,19,0,0
T1,6,2,6/23/2021,New,0,0,10,0,0
T1,6,4,6/23/2021,New,0,0,6,0,0
DF,2,2,6/23/2021,New,0,0,10,0,0
DF,2,4,6/23/2021,New,0,4,23,0,0
T4,1,2,6/23/2021,New,0,0,24,0,0
T4,1,4,6/23/2021,New,0,0,16,0,0
DF,1,2,6/23/2021,New,0,5,25,0,0
DF,1,4,6/23/2021,New,0,1,16,0,0
T5,1,2,8/4/2021,New,0,0,218,0,0
T5,1,4,8/4/2021,New,0,0,29,0,0
T3,3,2,6/23/2021,New,2,1,4,0,0
T3,3,4,6/23/2021,New,0,1,7,0,0
T3,4,2,6/23/2021,New,0,1,3,0,0
T3,4,4,6/23/2021,New,0,1,9,0,0
T2,1,2,6/23/2021,New,0,0,2,0,0
T2,1,4,6/23/2021,New,0,1,2,0,0
T2,6,2,6/23/2021,New,0,0,3,0,0
T2,6,4,6/23/2021,New,0,0,1,0,0
T4,6,2,6/23/2021,New,1,0,4,0,0
T4,6,4,6/23/2021,New,0,0,3,0,0
T4,5,2,6/23/2021,New,1,0,3,0,0
T4,5,4,6/23/2021,New,1,0,4,0,0
T6,4,2,6/23/2021,New,0,0,19,1,0
T6,4,4,6/23/2021,New,0,2,78,0,0
T7,2,2,6/23/2021,New,0,1,19,1,0
T7,2,4,6/23/2021,New,0,0,26,0,0
T1,2,2,8/18/2021,New,0,0,51,3,0
T1,2,4,8/18/2021,New,0,2,31,0,0
T1,3,2,8/18/2021,New,0,1,49,0,0
T1,3,4,8/18/2021,New,0,0,38,0,0
T1,4,2,8/18/2021,New,0,0,33,0,0
T1,4,4,8/18/2021,New,0,2,30,0,0
T1,5,2,8/18/2021,New,0,2,21,1,0
T1,5,4,8/18/2021,New,0,0,26,0,0
T1,6,2,8/18/2021,New,0,0,23,0,0
T1,6,4,8/18/2021,New,0,0,41,0,0
T6,1,2,6/23/2021,New,0,1,15,0,0
T6,1,4,6/23/2021,New,0,2,18,0,0
T4,2,2,6/23/2021,New,0,0,7,0,0
T4,2,4,6/23/2021,New,0,0,7,0,0
T6,2,2,6/23/2021,New,0,0,32,0,0
T6,2,4,6/23/2021,New,0,0,26,0,0
T5,1,2,6/23/2021,New,0,0,44,0,0
T5,1,4,6/23/2021,New,0,0,63,0,0
T5,2,2,6/23/2021,New,0,1,22,0,0
T5,2,4,6/23/2021,New,0,0,45,0,0
T5,4,2,6/23/2021,New,0,0,43,0,0
T5,4,4,6/23/2021,New,0,0,38,0,0
T7,4,2,6/23/2021,New,0,0,12,0,0
T7,4,4,6/23/2021,New,0,0,10,0,0
T7,5,2,6/23/2021,New,0,1,12,0,0
T7,5,4,6/23/2021,New,0,1,58,0,0
CF,2,2,6/23/2021,New,0,1,1,0,0
CF,2,4,6/23/2021,New,0,0,13,0,0
SF,2,2,6/23/2021,New,1,5,14,0,0
SF,2,4,6/23/2021,New,1,12,15,0,0
7,1,2,6/23/2021,New,0,1,13,0,0
7,1,4,6/23/2021,New,0,0,6,0,0
3,1,2,6/23/2021,New,0,0,11,0,0
3,1,4,6/23/2021,New,0,0,7,0,0
2,4,2,6/23/2021,New,0,0,4,0,0
2,4,4,6/23/2021,New,1,0,1,0,0
5,3,2,6/23/2021,New,1,3,87,1,0
5,3,4,6/23/2021,New,0,4,129,0,0
1,3,2,6/23/2021,New,0,3,14,0,0
1,3,4,6/23/2021,New,4,3,18,0,0
3,2,2,6/23/2021,New,0,1,11,0,0
3,2,4,6/23/2021,New,0,0,11,0,0
6,6,2,6/23/2021,New,0,0,26,0,0
6,6,4,6/23/2021,New,0,1,35,0,0
CF,3,2,6/23/2021,New,0,0,7,0,0
CF,3,4,6/23/2021,New,0,1,10,0,0
6,5,2,6/23/2021,New,0,0,61,0,0
6,5,4,6/23/2021,New,0,2,77,0,0
7,1,2,7/7/2021,New,0,2,52,1,0
7,1,4,7/7/2021,New,0,0,29,0,0
7,3,2,7/7/2021,New,0,1,36,0,0
7,3,4,7/7/2021,New,0,0,28,0,0
7,4,2,7/7/2021,New,0,1,26,0,0
7,4,4,7/7/2021,New,0,2,30,0,0
CF,2,2,7/7/2021,New,0,3,13,0,0
CF,2,4,7/7/2021,New,0,3,21,0,0
2,1,2,7/7/2021,New,0,0,29,0,0
2,1,4,7/7/2021,New,0,1,32,0,0
2,2,2,7/7/2021,New,0,0,74,0,0
2,2,4,7/7/2021,New,0,1,27,0,0
7,6,2,7/7/2021,New,0,1,30,0,0
7,6,4,7/7/2021,New,0,0,13,0,0
6,3,2,7/7/2021,New,0,2,72,0,0
6,3,4,7/7/2021,New,0,0,140,0,0
6,4,2,7/7/2021,New,0,4,78,0,0
6,4,4,7/7/2021,New,0,0,29,0,0
DF,2,2,7/7/2021,New,0,5,3,1,0
DF,2,4,7/7/2021,New,1,4,32,1,0
6,5,2,7/7/2021,New,0,0,172,1,0
6,5,4,7/7/2021,New,1,1,279,0,0
6,6,2,7/7/2021,New,5,3,49,0,0
6,6,4,7/7/2021,New,0,2,41,0,0
3,1,2,7/7/2021,New,0,0,20,0,0
3,1,4,7/7/2021,New,1,0,28,1,0
4,6,2,7/7/2021,New,0,2,10,0,0
4,6,4,7/7/2021,New,0,0,19,0,0
4,5,2,7/7/2021,New,0,0,27,0,0
4,5,4,7/7/2021,New,0,0,18,0,0
DF,3,2,7/7/2021,New,0,2,22,0,0
DF,3,4,7/7/2021,New,0,10,7,0,0
CF,1,2,7/7/2021,New,0,46,36,0,0
CF,1,4,7/7/2021,New,0,6,76,0,0
CF,3,2,7/7/2021,New,0,1,21,0,0
CF,3,4,7/7/2021,New,0,1,21,0,0
SF,1,2,7/7/2021,New,0,11,66,2,0
SF,1,4,7/7/2021,New,0,0,17,0,0
SF,2,2,7/7/2021,New,0,1,19,0,0
SF,2,4,7/7/2021,New,0,3,18,0,0
SF,3,2,7/7/2021,New,0,7,32,0,0
SF,3,4,7/7/2021,New,0,4,14,0,0
3,6,2,7/7/2021,New,0,0,11,0,0
3,6,4,7/7/2021,New,0,0,10,0,0
4,4,2,7/7/2021,New,0,0,19,0,0
4,4,4,7/7/2021,New,0,0,16,1,0
4,3,2,7/7/2021,New,0,0,8,0,0
4,3,4,7/7/2021,New,0,1,16,0,0
4,2,2,7/7/2021,New,0,0,23,0,0
4,2,4,7/7/2021,New,0,0,16,0,0
4,1,2,7/7/2021,New,0,0,14,0,0
4,1,4,7/7/2021,New,0,0,5,0,0
5,1,2,7/7/2021,New,0,0,1,0,0
5,1,4,7/7/2021,New,0,0,2,0,0
5,2,2,7/7/2021,New,0,0,8,0,0
5,2,4,7/7/2021,New,0,0,2,0,0
5,3,2,7/7/2021,New,0,0,13,0,0
5,3,4,7/7/2021,New,0,0,20,0,0
1,3,2,7/7/2021,New,0,1,21,0,0
1,3,4,7/7/2021,New,0,1,25,0,0
5,4,2,7/7/2021,New,0,1,24,0,0
5,4,4,7/7/2021,New,1,1,14,0,0
5,5,2,7/7/2021,New,0,2,18,2,0
5,5,4,7/7/2021,New,0,2,26,0,0
5,6,2,7/7/2021,New,0,2,28,0,0
5,6,4,7/7/2021,New,0,2,14,0,0
1,4,2,7/7/2021,New,0,0,32,0,0
1,4,4,7/7/2021,New,0,1,40,0,0
SF,1,2,6/23/2021,New,0,2,23,0,0
SF,1,4,6/23/2021,New,0,6,49,0,0
7,5,2,7/7/2021,New,0,4,32,0,0
7,5,4,7/7/2021,New,0,0,27,0,0
3,4,2,7/7/2021,New,2,0,30,0,0
3,4,4,7/7/2021,New,1,0,14,0,0
3,3,2,7/7/2021,New,0,1,35,1,0
3,3,4,7/7/2021,New,0,1,20,0,0
3,2,2,7/7/2021,New,1,0,18,0,0
3,2,4,7/7/2021,New,0,0,26,0,0
DF,1,2,7/7/2021,New,1,21,9,0,0
DF,1,4,7/7/2021,New,2,7,20,0,0
3,5,2,7/7/2021,New,6,0,30,0,0
3,5,4,7/7/2021,New,7,0,61,0,0
4,1,2,7/21/2021,New,0,0,19,0,0
4,1,4,7/21/2021,New,0,0,12,0,0
5,1,2,7/21/2021,New,0,4,27,0,0
5,1,4,7/21/2021,New,0,1,7,0,0
7,2,2,7/21/2021,New,0,3,16,0,0
7,2,4,7/21/2021,New,0,4,10,0,0
7,3,2,7/21/2021,New,1,3,14,0,0
7,3,4,7/21/2021,New,0,0,13,0,0
7,4,2,7/21/2021,New,0,1,4,0,0
7,4,4,7/21/2021,New,0,0,10,0,0
7,2,2,7/21/2021,New,1,0,10,0,0
7,2,4,7/21/2021,New,0,1,2,0,0
4,3,2,7/21/2021,New,0,0,14,0,0
4,3,4,7/21/2021,New,1,0,7,0,0
2,1,2,7/21/2021,New,0,1,13,0,0
2,1,4,7/21/2021,New,0,0,20,0,0
3,2,2,7/21/2021,New,0,0,15,0,0
3,2,4,7/21/2021,New,0,0,10,0,0
3,3,2,7/21/2021,New,1,0,11,0,0
3,3,4,7/21/2021,New,0,2,8,0,0
3,4,2,7/21/2021,New,0,0,20,0,0
3,4,4,7/21/2021,New,0,1,12,0,0
SF,3,2,7/21/2021,New,0,0,9,0,0
SF,3,4,7/21/2021,New,0,2,10,0,0
6,1,2,7/21/2021,New,1,1,130,0,0
6,1,4,7/21/2021,New,0,3,87,0,0
6,2,2,7/21/2021,New,0,4,190,0,0
6,2,4,7/21/2021,New,0,2,174,0,0
2,4,2,7/21/2021,New,0,1,11,0,0
2,4,4,7/21/2021,New,0,0,11,0,0
2,3,2,7/21/2021,New,0,1,24,0,0
2,3,4,7/21/2021,New,1,1,22,0,0
1,6,2,7/21/2021,New,0,0,17,0,0
1,6,4,7/21/2021,New,2,1,18,0,0
1,1,2,7/21/2021,New,5,0,27,0,0
1,1,4,7/21/2021,New,7,0,23,0,0
2,6,2,7/21/2021,New,7,0,35,0,0
2,6,4,7/21/2021,New,1,0,29,0,0
2,5,2,7/21/2021,New,8,1,23,0,0
2,5,4,7/21/2021,New,7,0,24,0,0
3,1,2,7/21/2021,New,4,0,21,0,0
3,1,4,7/21/2021,New,1,0,31,2,0
1,4,2,7/21/2021,New,9,0,17,0,0
1,4,4,7/21/2021,New,6,0,26,0,0
1,3,2,7/21/2021,New,1,0,20,0,0
1,3,4,7/21/2021,New,4,3,20,0,0
3,6,2,7/21/2021,New,1,0,11,1,0
3,6,4,7/21/2021,New,1,0,24,0,0
DF,3,2,6/23/2021,New,0,2,14,0,0
DF,3,4,6/23/2021,New,0,1,13,0,0
6,3,2,6/23/2021,New,0,0,111,0,0
6,3,4,6/23/2021,New,0,0,72,0,0
6,2,2,7/21/2021,New,6,3,347,0,0
6,2,4,7/21/2021,New,6,3,111,0,0
7,1,2,7/21/2021,New,0,0,29,0,0
7,1,4,7/21/2021,New,4,2,42,0,0
2,5,2,7/21/2021,New,1,0,26,0,0
2,5,4,7/21/2021,New,2,0,38,0,0
2,4,2,7/21/2021,New,1,1,39,0,0
2,4,4,7/21/2021,New,1,1,36,0,0
1,2,2,7/7/2021,New,1,0,37,0,0
1,2,4,7/7/2021,New,1,0,57,0,0
2,3,2,7/7/2021,New,2,1,39,0,0
2,3,4,7/7/2021,New,4,0,31,0,0
5,3,2,7/21/2021,New,0,0,20,0,0
5,3,4,7/21/2021,New,2,0,16,0,0
5,4,2,7/21/2021,New,0,0,40,0,0
5,4,4,7/21/2021,New,0,0,25,0,0
2,2,2,7/21/2021,New,5,1,14,0,0
2,2,4,7/21/2021,New,2,0,21,0,0
7,6,2,7/21/2021,New,0,8,50,0,0
7,6,4,7/21/2021,New,2,2,19,0,0
4,5,2,7/21/2021,New,2,0,18,0,0
4,5,4,7/21/2021,New,7,0,31,0,0
7,3,2,6/23/2021,New,0,0,73,0,0
7,3,4,6/23/2021,New,0,0,53,0,0
2,3,2,6/23/2021,New,0,0,10,0,0
2,3,4,6/23/2021,New,0,1,3,0,0
1,1,2,6/23/2021,New,0,1,14,0,0
1,1,4,6/23/2021,New,1,1,17,0,0
1,2,2,6/23/2021,New,0,1,27,0,0
1,2,4,6/23/2021,New,0,1,33,0,0
SF,3,2,6/23/2021,New,0,1,18,0,0
SF,3,4,6/23/2021,New,0,1,14,0,0
5,5,2,6/23/2021,New,0,0,72,0,0
5,5,4,6/23/2021,New,0,2,59,0,0
5,2,2,7/21/2021,New,0,4,31,0,0
5,2,4,7/21/2021,New,0,1,16,0,0
5,5,2,7/21/2021,New,1,2,39,0,0
5,5,4,7/21/2021,New,3,2,34,0,0
5,6,2,7/21/2021,New,1,4,71,0,0
5,6,4,7/21/2021,New,1,2,71,0,0
7,5,2,7/21/2021,New,1,0,20,0,0
7,5,4,7/21/2021,New,1,1,19,0,0
4,4,2,7/21/2021,New,1,1,9,1,0
4,4,4,7/21/2021,New,1,2,16,0,0
1,2,2,7/21/2021,New,1,0,24,0,0
1,2,4,7/21/2021,New,4,1,25,0,0
7,1,2,7/21/2021,New,0,2,27,0,0
7,1,4,7/21/2021,New,3,4,24,1,0
DF,3,2,7/21/2021,New,0,2,4,0,0
DF,3,4,7/21/2021,New,0,1,8,0,0
CF,3,2,8/4/2021,New,0,6,9,0,0
CF,3,4,8/4/2021,New,0,4,7,0,0
1,2,2,8/4/2021,New,0,0,11,0,0
1,2,4,8/4/2021,New,0,1,12,0,0
1,3,2,8/4/2021,New,0,1,14,0,0
1,3,4,8/4/2021,New,0,0,13,0,0
2,5,2,8/4/2021,New,0,0,12,0,0
2,5,4,8/4/2021,New,0,0,15,0,0
2,1,2,8/4/2021,New,0,1,11,0,0
2,1,4,8/4/2021,New,1,0,6,0,0
2,2,2,8/4/2021,New,0,0,15,0,0
2,2,4,8/4/2021,New,0,0,9,0,0
3,5,2,7/21/2021,New,0,0,12,0,0
3,5,4,7/21/2021,New,0,0,32,0,0
4,6,2,7/21/2021,New,0,0,27,0,0
4,6,4,7/21/2021,New,1,0,18,0,0
6,4,2,7/21/2021,New,1,1,36,0,0
6,4,4,7/21/2021,New,0,0,16,0,0
6,5,2,7/21/2021,New,2,2,474,0,0
6,5,4,7/21/2021,New,0,0,403,0,0
6,6,2,7/21/2021,New,0,1,35,0,0
6,6,4,7/21/2021,New,0,2,47,0,0
CF,3,2,7/21/2021,New,0,6,18,0,0
CF,3,4,7/21/2021,New,0,5,23,0,0
CF,1,2,7/21/2021,New,0,6,7,0,0
CF,1,4,7/21/2021,New,0,0,0,0,0
5,6,2,6/23/2021,New,0,5,35,0,0
5,6,4,6/23/2021,New,0,1,32,0,0
2,5,2,6/23/2021,New,0,2,5,0,0
2,5,4,6/23/2021,New,0,0,4,0,0
7,6,2,6/23/2021,New,0,3,14,0,0
7,6,4,6/23/2021,New,0,3,14,0,0
1,4,2,6/23/2021,New,0,1,11,0,0
1,4,4,6/23/2021,New,0,1,7,0,0
1,1,2,7/7/2021,New,0,2,27,1,0
1,1,4,7/7/2021,New,0,4,17,1,0
6,1,2,7/7/2021,New,1,7,93,0,0
6,1,4,7/7/2021,New,5,18,80,0,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
